Serial Number,Question,A,B,C,D,Answer,Answer,Appropriateness,Difficulty,Check,Notes,Overall Topic A,Sub Topic A,Overall Topic B,Sub Topic B,Overall Topic C,Sub Topic C,Overall Topic D,Sub Topic D,Overall Topic E,Sub Topic E,Combined Topics,Combined Sub Topics,Hint,Explanation,,,Old Question,Old A,Old B,Old C,Old D
Q000051,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=2x^2 +10x+7\)","\(y = \frac{7}{2}\) at \(x = -1\), minimum","\(y = 8\) at \(x = -1\), minimum","\(y = -\frac{11}{2}\) at \(x = -\frac{5}{2}\), minimum","\(y = -\frac{9}{2}\) at \(x = -\frac{3}{2}\), minimum",C,C,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=2x^2 +10x+7","A. y = 7/2 at x = -1, minimum","B. y = 8 at x = -1, minimum","C. y = -11/2 at x = -5/2, minimum","D. y = -9/2 at x = -3/2, minimum"
Q000052,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=2x^2 +4x+3\)","\(y = 1\) at \(x = -1\), minimum","\(y = 2\) at \(x = -2\), minimum","\(y = 3\) at \(x = 1\), minimum","\(y = 4\) at \(x = 2\), minimum",A,A,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=2x^2 +4x+3","A. y = 1 at x = -1, minimum","B. y = 2 at x = -2, minimum","C. y = 3 at x = 1, minimum","D. y = 4 at x = 2, minimum"
Q000053,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=2x^2 +12x+6\)","\(y = 6\) at \(x = -1\), minimum","\(y = 8\) at \(x = -2\), minimum","\(y = -12\) at \(x = -3\), minimum","\(y = 10\) at \(x = 2\), minimum",C,C,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=2x^2 +12x+6","A. y = 6 at x = -1, minimum","B. y = 8 at x = -2, minimum","C. y = -12 at x = -3, minimum","D. y = 10 at x = 2, minimum"
Q000054,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=2x^2 +14x+9\)","\(y = 9\) at \(x = -1\), minimum","\(y = -\frac{31}{2}\) at \(x = -\frac{7}{2}\), minimum","\(y = 14\) at \(x = 1\), minimum","\(y = \frac{12}{5}\) at \(x = \frac{2}{5}\), minimum",B,B,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=2x^2 +14x+9","A. y = 9 at x = -1, minimum","B. y = -31/2 at x = -7/2, minimum","C. y = 14 at x = 1, minimum","D. y = 12/5 at x = 2/5, minimum"
Q000055,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=2x^2 +16x+8\)","\(y = 8\) at \(x = -2\), minimum","\(y = 10\) at \(x = -1\), minimum","\(y = 16\) at \(x = 1\), minimum","\(y = -24\) at \(x = -4\), minimum",D,D,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=2x^2 +16x+8","A. y = 8 at x = -2, minimum","B. y = 10 at x = -1, minimum","C. y = 16 at x = 1, minimum","D. y = -24 at x = -4, minimum"
Q000056,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=2x^2+2x+\frac{1}{2}\)","\(y = 0\) at \(x = -\frac{1}{2}\), minimum","\(y = 1\) at \(x = -2\), minimum","\(y = 2\) at \(x = 1\), minimum","\(y = 4\) at \(x = 2\), minimum",A,A,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=2x^2 +2x+1/2","A. y = 0 at x = -1/2, minimum","B. y = 1 at x = -2, minimum","C. y = 2 at x = 1, minimum","D. y = 4 at x = 2, minimum"
Q000057,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=2x^2-4x+2\)","\(y = 2\) at \(x = -1\), minimum","\(y = 0\) at \(x = 1\), minimum","\(y = -4\) at \(x = -2\), minimum","\(y = 4\) at \(x = 2\), minimum",B,B,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=2x^2 -4x+2","A. y = 2 at x = -1, minimum","B. y = 0 at x = 1, minimum","C. y = -4 at x = -2, minimum","D. y = 4 at x = 2, minimum"
Q000058,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=2x^2-6x+3\)","\(y = 3\) at \(x = -1\), minimum","\(y = 1\) at \(x = -2\), minimum","\(y = -\frac{3}{2}\) at \(x = \frac{3}{2}\), minimum","\(y = 6\) at \(x = 3\), minimum",C,C,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=2x^2 -6x+3","A. y = 3 at x = -1, minimum","B. y = 1 at x = -2, minimum","C. y = -3/2 at x = 3/2, minimum","D. y = 6 at x = 3, minimum"
Q000059,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=17-2x-2x^2\)","\(y = 6\) at \(x = -1\), minimum","\(y = \frac{37}{2}\) at \(x = -\frac{3}{2}\), maximum","\(y = \frac{35}{3}\) at \(x = -\frac{1}{2}\), maximum","\(y = \frac{35}{2}\) at \(x = -\frac{1}{2}\), maximum",D,D,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=17−2x−2x^2","A. y = 6 at x = -1, minimum","B. y = 37/2 at x = -3/2, maximum","C. y = 35/3 at x = -1/2, maximum","D. y = 35/2 at x = -1/2, maximum"
Q000060,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=13-4x-2x^2\)","\(y = 5\) at \(x = -2\), minimum","\(y = \frac{25}{2}\) at \(x = -\frac{3}{2}\), maximum","\(y = 15\) at \(x = -1\), maximum","\(y = \frac{27}{2}\) at \(x = -\frac{1}{2}\), maximum",C,C,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=13−4x−2x^2","A. y = 5 at x = -2, minimum","B. y = 25/2 at x = -3/2, maximum","C. y = 15 at x = -1, maximum","D. y = 27/2 at x = -1/2, maximum"
Q000061,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=20-3x-2x^2\)","\(y = 7\) at \(x = -1\), minimum","\(y = \frac{37}{2}\) at \(x = -\frac{3}{2}\), maximum","\(y = \frac{169}{8}\) at \(x = -\frac{3}{4}\), maximum","\(y = 20\) at \(x = -\frac{1}{2}\), maximum",C,C,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=20−3x−2x^2","A. y = 7 at x = -1, minimum","B. y = 37/2 at x = -3/2, maximum","C. y = 169/8 at x = -3/4, maximum","D. y = 40/2 at x = -1/2, maximum"
Q000062,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=15-6x-2x^2\)","\(y = 9\) at \(x = -2\), minimum","\(y = \frac{21}{2}\) at \(x = -\frac{3}{2}\), maximum","\(y = 10\) at \(x = -\frac{1}{2}\), maximum","\(y = \frac{39}{2}\) at \(x = -\frac{3}{2}\), maximum",D,D,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=15−6x−2x^2","A. y = 9 at x = -2, minimum","B. y = 21/2 at x = -3/2, maximum","C. y = 30/3 at x = -1/2, maximum","D. y = 39/2 at x = -3/2, maximum"
Q000063,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=22-5x-2x^2\)","\(y = 12\) at \(x = -1\), minimum","\(y = \frac{37}{2}\) at \(x = -\frac{3}{2}\), maximum","\(y = \frac{31}{3}\) at \(x = -\frac{1}{2}\), maximum","\(y = \frac{201}{8}\) at \(x = -\frac{5}{4}\), maximum",D,D,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=22−5x−2x^2","A. y = 12 at x = -1, minimum","B. y = 37/2 at x = -3/2, maximum","C. y = 31/3 at x = -1/2, maximum","D. y = 201/8 at x = -5/4, maximum"
Q000064,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=18-8x-2x^2\)","\(y = 8\) at \(x = -2\), minimum","\(y = 26\) at \(x = -2\), maximum","\(y = \frac{29}{3}\) at \(x = -\frac{1}{2}\), maximum","\(y = 20\) at \(x = -\frac{1}{2}\), maximum",B,B,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=18−8x−2x^2","A. y = 8 at x = -2, minimum","B. y = 26 at x = -2, maximum","C. y = 29/3 at x = -1/2, maximum","D. y = 40/2 at x = -1/2, maximum"
Q000065,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=25-7x-2x^2\)","\(y = 11\) at \(x = -1\), minimum","\(y = \frac{37}{2}\) at \(x = -\frac{3}{2}\), maximum","\(y = \frac{249}{8}\) at \(x = -\frac{7}{4}\), maximum","\(y = \frac{43}{2}\) at \(x = -\frac{1}{2}\), maximum",C,C,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=25−7x−2x^2","A. y = 11 at x = -1, minimum","B. y = 37/2 at x = -3/2, maximum","C. y = 249/8 at x = -7/4, maximum","D. y = 43/2 at x = -1/2, maximum"
Q000066,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=10-10x-2x^2\)","\(y = 10\) at \(x = -2\), minimum","\(y = \frac{45}{2}\) at \(x = -\frac{5}{2}\), maximum","\(y = 5\) at \(x = -\frac{1}{2}\), maximum","\(y = \frac{25}{2}\) at \(x = -\frac{1}{2}\), maximum",B,B,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=10−10x−2x^2","A. y = 10 at x = -2, minimum","B. y = 45/2 at x = -5/2, maximum","C. y = 15/3 at x = -1/2, maximum","D. y = 25/2 at x = -1/2, maximum"
Q000067,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=28-9x-2x^2\)","\(y = 14\) at \(x = -1\), minimum","\(y = \frac{37}{2}\) at \(x = -\frac{3}{2}\), maximum","\(y = \frac{305}{8}\) at \(x = -\frac{9}{4}\), maximum","\(y = \frac{45}{2}\) at \(x = -\frac{1}{2}\), maximum",C,C,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=28−9x−2x^2","A. y = 14 at x = -1, minimum","B. y = 37/2 at x = -3/2, maximum","C. y = 305/8 at x = -9/4, maximum","D. y = 45/2 at x = -1/2, maximum"
Q000068,"By completing the square, find the maximum or minimum value of \(y\) and the value of \(x\) for which this occurs. State whether your value of \(y\) is a maximum or a minimum in each case. \(y=12-12x-2x^2\)","\(y = 12\) at \(x = -2\), minimum","\(y = \frac{8}{2}\) at \(x = -\frac{3}{2}\), maximum","\(y = \frac{24}{3}\) at \(x = -\frac{1}{2}\), maximum","\(y = 30\) at \(x = -3\), maximum",D,D,4,3,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - Maximums/Minimums,,,,,"By completing the square, find the maximum or minimum value of y and the value of x for which this occurs. State whether your value of y is a maximum or a minimum in each case. y=12−12x−2x^2","A. y = 12 at x = -2, minimum","B. y = 8/2 at x = -3/2, maximum","C. y = 24/3 at x = -1/2, maximum","D. y = 30 at x = -3, maximum"
Q000069,Complete the square for \(x^2-7x-2\),\((x-2)^2-10\),\((x-7)^2-17\),\((x-3.5)^2-14.25\),\((x-5)^2-16\),C,C,2,2,yes,base question,Algebra and Functions,,,,,,,,,,Algebra and Functions,,,,,,Complete the square for x^2-7x-2,(x-2)^2-10,(x-7)^2-17,(x-3.5)^2-14.25,(x-5)^2-16
Q000070,Complete the square for \(x^2 + 6x - 4\),\((x + 3)^2 - 13\),\((x + 2)^2 - 2\),\((x + 3)^2 - 9\),\((x + 3)^2 - 4\),A,A,2,2,yes,chatgpt answer is correct,Algebra and Functions,,,,,,,,,,Algebra and Functions,,,,,,Complete the square for x^2 + 6x - 4,(x + 3)^2 - 13,(x + 2)^2 - 2,(x + 3)^2 - 9,(x + 3)^2 - 4
Q000071,Complete the square for \(x^2 - 4x + 7\),\((x - 2)^2 + 3\),\((x - 2)^2 + 5\),\((x - 3)^2 + 5\),\((x - 3)^2 + 3\),A,A,2,2,yes,original answer is wrong,Algebra and Functions,,,,,,,,,,Algebra and Functions,,,,,,Complete the square for x^2 - 4x + 7,(x - 2)^2 + 3,(x - 2)^2 + 5,(x - 3)^2 + 5,(x - 3)^2 + 3
Q000072,Complete the square for \(x^2 + 10x - 8\),\((x + 5)^2 - 25\),\((x + 5)^2 - 8\),\((x + 5)^2 - 33\),\((x + 4)^2 - 8\),C,C,2,2,yes,chatgpt answer is correct,Algebra and Functions,,,,,,,,,,Algebra and Functions,,,,,,Complete the square for x^2 + 10x - 8,(x + 5)^2 - 25,(x + 5)^2 - 8,(x + 5)^2 - 33,(x + 4)^2 - 8
Q000073,Complete the square for \(x^2 - 8x + 1\),\((x - 4)^2 - 15\),\((x - 4)^2 - 7\),\((x - 3)^2 - 8\),\((x - 4)^2 - 13\),A,A,2,2,yes,chatgpt answer is correct,Algebra and Functions,,,,,,,,,,Algebra and Functions,,,,,,Complete the square for x^2 - 8x + 1,(x - 4)^2 - 15,(x - 4)^2 - 7,(x - 3)^2 - 8,(x - 4)^2 - 13
Q000074,Complete the square for \(x^2 + 12x + 5\),\((x + 6)^2 - 36\),\((x + 5)^2 - 36\),\((x + 6)^2 - 31\),\((x + 6)^2 - 34\),C,C,2,2,yes,chatgpt answer is correct,Algebra and Functions,,,,,,,,,,Algebra and Functions,,,,,,Complete the square for x^2 + 12x + 5,(x + 6)^2 - 36,(x + 5)^2 - 36,(x + 6)^2 - 31,(x + 6)^2 - 34
Q000075,"When \(x^2 - 6x - 8\) is written in the form \(a(x + q)^2 + r\), what is the value of \(r\)?",\(-17\),\(2\),\(-8\),\(8\),A,A,6,6,yes,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - When a is 1,,,,,,,,,Algebra and Functions,Algebra and Functions - Completing the square (ax^2+bx+c) - When a is 1,,,,,"When x^2 - 6x - 8 is written in the form a(x + q)^2 + r, what is the value of r?",-17,2,-8,8
